DATE,CPIHOSNS
2014-01-01,230.256
2014-02-01,230.905
2014-03-01,231.968
2014-04-01,231.689
2014-05-01,232.744
2014-06-01,233.894
2014-07-01,234.475
2014-08-01,234.571
2014-09-01,234.675
2014-10-01,234.434
2014-11-01,234.315
2014-12-01,234.658
2015-01-01,235.485
2015-02-01,236.016
2015-03-01,236.435
2015-04-01,236.777
2015-05-01,237.175
2015-06-01,238.568
2015-07-01,239.085
2015-08-01,239.298
2015-09-01,239.651
2015-10-01,239.395
2015-11-01,239.325
2015-12-01,239.514
2016-01-01,240.424
